writeFailed "´×°: ¹Þ°ÑÌ«ÙÀÞÊ ÖÐÄØ¾ÝÖ³ÃÞ½



"tutorial_move "W A S D (I J K L) ·°ÃÞ ²ÄÞ³"
pauseMessage4 "(ÚÍÞÙÊ ÌÞ¯¸Ï°¸ »ÚÏ½)"



flagEditMessage1 "Ì×¯¸Þ¦ ÃÞ»Þ²Ý ¼Ã¸ÀÞ»²"
flagEditMessage2 "Enter ·°ÃÞ ¹¯Ã²¼Ï½"
flagEditMessage3 "ºÉ¶ÞÒÝÊ F ·°ÃÞ Ë®³¼Þ ÃÞ·Ï½"

flagEditMessage4 "Ì×¯¸ÞÃÞ ±Ý¶°¦ Ï°¸ ÃÞ·Ï½"
flagEditMessage5 "Î¶É ÌßÚ²Ô°Æ ±Ëß°Ù ¼Ï¼®³"

flagAnchorLabelA1 "Êß°ÏÈÝÄ"
flagAnchorLabelA2 "±Ý¶°"

flagAnchorLabelB1 "ÃÝÎß×Ø°"
flagAnchorLabelB2 "±Ý¶°"



difficultyTag "ÅÝ²ÄÞ"

innerTag "Å¶É "



playbackTag           "ÌßÚ²ÊÞ¯¸ %:"
playbackToggleMessage "(% ÃÞ ¶¸½)"
playbackEndMessage    "(Esc ·° ÃÞ ¼­³Ø®³)"


powerUpHeart_tip          "×²Ì"
powerUpBulletSize_tip     "¼®¯Ä»²½Þ"
powerUpRapidFire_tip      "×Ëß¯ÄÞ¼®¯Ä"
powerUpBulletSpeed_tip    "¼®¯Ä½Ëß°ÄÞ"
powerUpSpread_tip         "½ÌßÚ¯ÄÞ¼®¯Ä"
powerUpHeatSeek_tip       "Î°ÐÝ¸Þ¼®¯Ä"
powerUpBulletDistance_tip "¼®¯ÄÚÝ¼Þ"
powerUpBounce_tip         "ÊÞ³ÝÄÞ¼®¯Ä"
powerUpCornering_tip      "¶°ÌÞ¼®¯Ä"
powerUpSticky_tip         "½Ä¯Ìß¼®¯Ä"
powerUpExplode_tip        "ÊÞ°½Ä¼®¯Ä"

flagSpotA_tip             "Êß°ÏÈÝÄÌ×¯¸Þ"
flagSpotB_tip             "ÃÝÎß×Ø°Ì×¯¸Þ"

powerUpHeartSetCombo_tipPart1  "»ÊÞ²ÌÞ"
powerUpHeartSetCombo_tipPart2  "Ë¯Ä"
powerUpHeartSetCombo_tipPart2_singular  "Ë¯Ä"


powerUpLevel_tip   "LEVEL"



enterDemoCode  "ÃÞÓº°ÄÞ¦ Æ­³Ø®¸:"
checkingCode  "»°ÊÞ°ÃÞ ÃÞÓÉ ·®¶¦ ¶¸ÆÝÁ­³..."


err_webRequest   "´×°: ³ªÌÞØ¸´½Ä ´×°"
err_codeFailed  "ºÉ ÃÞÓº°ÄÞÊ »°ÊÞ°Æ ·®Ë»ÚÏ¼À"
err_serverVerifyFailed  "»°ÊÞ°¶×É ¶²Ä³¶Þ ¶¸ÆÝ ÃÞ·Ï¾Ý"
